,Brand,Model,Version,Price,Modèle,Ville,Vendeur,Main,Kilométrage,Carburant,Transmision,Année de mise en circulation,1ère main,Dédouanée,Motorisation,Puissance fiscale,Puissance dynamique,Couleur extérieure,Etat du véhicule,Climatisation,Système audio,Vitres électriques,Sièges électriques,Ordinateur de bord,Start & Stop,Régulateur de vitesse,Allumage auto. des feux,Détecteur de pluie,Commandes au volant,Ecran tactile,Rétroviseurs électriques,Rétroviseurs rabattables électriquement,Ouverture auto. du coffre,Démarrage mains libres,Banquette arrière rabattable 1/3-2/3,Aide au stationnement,Caméra de recul,Bluetooth,Système de navigation,Jantes aluminium,Volant cuir,Sellerie,Vitres teintées,Feux de jour,Feux à LED,Phares Xénon,Barres de toit,Toit,Airbags,ABS,ESP,Aide au freinage d'urgence,Antipatinage,Antidémarrage électronique,Détecteur de sous-gonflage,Fermeture de portes en roulant,Aide au démarrage en cote,Système d'alerte de franchissement de ligne,Détecteur d'angle mort,Système d'alarme
265,PEUGEOT,406 2000,2.0 HDi SR,54.000 DH VENDUE,2000,Rabat,Particulier,Seconde,230.000 km,Diesel,Manuelle,2000,non,non,Diesel,8 cv,110 ch,Bleu,Bon,auto.,Radio,Electrique AV/AR,non,oui,non,non,non,non,oui,non,oui,non,non,non,non,non,non,non,non,non,non,Tissu,non,non,non,non,non,Rigide,oui,oui,oui,non,non,non,non,non,non,non,non,non
266,PEUGEOT,308 2017,1.6 HDi 92 Style,168.500 DH VENDUE,2017,Casablanca,Particulier,Première,38.464 km,Diesel,Manuelle,2017,oui,non,Diesel,6 cv,92 ch,Bleu,Excellent,auto. Bi-zone,"Radio, CD, MP3",Electrique AV,non,oui,non,oui,oui,non,oui,non,oui,non,non,non,oui,non,non,oui,oui,oui,non,Tissu,non,oui,non,non,non,Rigide,oui,oui,oui,oui,oui,oui,non,oui,non,non,non,non
267,PEUGEOT,206 2011,1.4 HDi Trendy,57.000 DH VENDUE,2011,Casablanca,Particulier,Seconde,100.000 km,Essence,Manuelle,2011,non,non,Essence,7 cv,75 ch,Gris clair,Comme neuve,manuelle,"Radio, CD, MP3",Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Cuir,non,non,non,non,non,Rigide,oui,oui,non,non,non,non,non,non,non,non,non,non
268,PEUGEOT,206 2002,Autre version,49.000 DH VENDUE,2002,Casablanca,Particulier,Seconde,190.000 km,Diesel,Manuelle,2002,non,non,Diesel,6 cv,80 ch,Gris,Excellent,manuelle,"Radio, CD",Electrique AV/AR,non,non,non,non,non,non,oui,non,oui,non,non,non,non,non,non,non,non,oui,non,Tissu,non,non,non,non,non,Rigide,oui,oui,oui,non,oui,oui,non,non,non,non,non,oui
269,PEUGEOT,208 2018,1.6 HDi 92 White Edition,145.000 DH VENDUE,2018,Oujda,Particulier,Première,30.000 km,Diesel,Manuelle,2018,oui,non,Diesel,6 cv,92 ch,Autre couleur,Comme neuve,auto.,"Radio, USB",Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,Arrière,non,oui,oui,oui,non,Tissu,oui,oui,oui,non,oui,Panoramique,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui
270,PEUGEOT,308 2017,Autre version,180.000 DH VENDUE,2017,Casablanca,Particulier,Première,30.000 km,Diesel,Manuelle,2017,oui,non,Diesel,6 cv,127 ch,Blanc,Comme neuve,auto. Bi-zone,"Radio CD, DVD, SD, USB",Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,non,non,oui,non,oui,oui,oui,oui,non,Tissu,oui,oui,oui,oui,non,Rigide,oui,oui,oui,non,oui,oui,oui,oui,non,non,non,oui
271,PEUGEOT,308 2009,1.6 HDi Confort Pack,76.000 DH VENDUE,2009,Casablanca,Particulier,Seconde,195.000 km,Diesel,Manuelle,2009,non,non,Diesel,6 cv,90 ch,Gris,Très bon,manuelle,"Radio, CD, MP3",Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Tissu,oui,non,oui,oui,non,Rigide,oui,oui,non,non,non,non,non,non,non,non,non,non
272,PEUGEOT,308 2010,1.6 HDi 92 Access,90.000 DH VENDUE,2010,Casablanca,Particulier,Seconde,200.000 km,Diesel,Manuelle,2010,non,non,Diesel,6 cv,92 ch,Vert,Comme neuve,auto. Bi-zone,"Radio CD, MP3, USB",Electrique AV/AR,non,oui,oui,oui,non,oui,oui,non,oui,oui,non,oui,oui,non,non,oui,non,oui,non,Tissu,oui,oui,non,oui,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,non,non,non,oui
273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,PEUGEOT,207 2006,1.4 HDi Access,77.000 DH VENDUE,2006,Casablanca,Particulier,Première,175.000 km,Diesel,Automatique,2006,oui,non,Diesel,6 cv,70 ch,Bleu foncé,Excellent,manuelle,"Radio CD, SD, USB",Electrique AV,non,oui,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,Tissu,oui,non,non,non,non,Rigide,oui,oui,non,oui,oui,non,oui,oui,non,non,non,non
275,PEUGEOT,206 2009,1.4 HDi Urban Clim,66.500 DH VENDUE,2009,Casablanca,Particulier,Seconde,230.000 km,Diesel,Manuelle,2009,non,non,Diesel,6 cv,70 ch,Gris foncé,Très bon,manuelle,"Radio, CD",Electrique AV/AR,non,non,non,non,non,non,oui,non,non,non,non,non,oui,non,non,non,non,oui,non,Tissu,non,non,non,non,non,Rigide,oui,non,non,non,non,non,non,non,non,non,non,non
276,PEUGEOT,308 2011,1.6 HDi Premium Plus 110,96.000 DH VENDUE,2011,Agadir,Particulier,Seconde,133.000 km,Diesel,Automatique,2011,non,non,Diesel,6 cv,110 ch,Noir,Très bon,auto. Bi-zone,"Radio CD, DVD, SD, USB",Electrique AV/AR,Tous les passagers,oui,non,oui,oui,oui,oui,oui,oui,oui,non,non,oui,non,oui,oui,oui,oui,non,Tissu,oui,oui,oui,non,non,Rigide,oui,oui,oui,non,non,oui,non,non,non,non,non,non
277,PEUGEOT,406 1999,Autre version,55.000 DH VENDUE,1999,Rabat,Particulier,Seconde,250.000 km,Diesel,Automatique,1999,non,non,Diesel,8 cv,-,Gris clair,Excellent,manuelle,Radio,-,non,non,non,non,non,non,oui,non,oui,non,non,non,non,non,non,non,non,non,non,Tissu,non,non,non,non,non,Rigide,oui,non,non,non,non,non,non,non,non,non,non,oui
278,PEUGEOT,301 2017,1.6 HDi 92 Pack Edition,110.000 DH VENDUE,2017,Casablanca,Particulier,Première,42.800 km,Diesel,Manuelle,2017,oui,non,Diesel,6 cv,92 ch,Blanc,Excellent,auto.,"Radio CD, MP3, USB",Electrique AV/AR,Conducteur,oui,non,oui,non,non,oui,non,non,non,non,non,non,Arrière,oui,oui,non,non,oui,Tissu,oui,oui,non,non,non,Rigide,oui,oui,oui,non,non,non,non,oui,non,non,non,non
279,PEUGEOT,208 2016,1.6 HDi 92 Allure,125.000 DH VENDUE,2016,Rabat,Particulier,Première,32.000 km,Diesel,Manuelle,2016,oui,non,Diesel,6 cv,92 ch,Gris clair,Comme neuve,auto.,"Radio CD, MP3, USB",Electrique AV/AR,non,oui,non,oui,oui,oui,oui,oui,oui,oui,non,non,oui,Arrière,non,oui,non,oui,non,Tissu,oui,oui,oui,non,non,Panoramique,oui,oui,oui,oui,oui,oui,oui,oui,non,non,non,oui
280,PEUGEOT,308 2012,1.4 VTi Active,72.000 DH VENDUE,2012,Casablanca,Particulier,Seconde,119.000 km,Essence,Automatique,2012,non,non,Essence,7 cv,98 ch,Gris clair,Très bon,manuelle,"Radio CD, SD, USB",Electrique AV,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,non,oui,non,Tissu,non,oui,non,non,non,Rigide,oui,oui,oui,non,non,non,non,non,non,non,non,oui
281,PEUGEOT,2008 2016,1.6 e-HDi Active,140.000 DH VENDUE,2016,Taza,Particulier,Première,70.000 km,Diesel,Manuelle,2016,oui,non,Diesel,6 cv,92 ch,Gris foncé,Excellent,manuelle,"Radio, MP3, USB",Electrique AV/AR,non,oui,oui,oui,oui,non,oui,oui,oui,oui,non,oui,oui,non,oui,oui,non,oui,non,Tissu,oui,oui,oui,non,oui,Rigide,oui,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,non
282,PEUGEOT,206 2018,1.1 Urban,30.000 DH VENDUE,2018,Salé,Particulier,Seconde,80.000 km,Essence,Automatique,2018,non,non,Essence,6 cv,06 ch,Noir,Comme neuve,manuelle,"Radio, CD, MP3",Electrique AV,Conducteur et Passager,oui,oui,oui,oui,oui,oui,oui,oui,oui,non,oui,non,non,non,non,oui,oui,non,Tissu,oui,non,non,non,non,Rigide,oui,oui,oui,oui,oui,oui,oui,non,oui,oui,oui,oui
